fecha,p_mensual,estacion
1982-01-01,126.0,areco
1983-01-01,139.0,areco
1984-01-01,118.0,areco
1985-01-01,65.0,areco
1986-01-01,122.0,areco
1987-01-01,127.0,areco
1988-01-01,32.0,areco
1989-01-01,23.0,areco
1990-01-01,119.0,areco
1991-01-01,114.0,areco
1992-01-01,115.0,areco
1993-01-01,155.0,areco
1994-01-01,92.0,areco
1995-01-01,35.0,areco
1996-01-01,43.0,areco
1997-01-01,177.0,areco
1998-01-01,148.0,areco
1999-01-01,141.0,areco
2000-01-01,25.0,areco
2001-01-01,246.0,areco
2002-01-01,114.0,areco
2003-01-01,110.0,areco
2004-01-01,148.0,areco
2005-01-01,109.0,areco
2006-01-01,303.0,areco
2007-01-01,111.0,areco
2008-01-01,74.0,areco
2009-01-01,25.0,areco
2010-01-01,176.0,areco
2011-01-01,188.0,areco
2012-01-01,63.0,areco
2013-01-01,64.0,areco
2014-01-01,227.0,areco
2015-01-01,223.0,areco
2016-01-01,43.0,areco
2017-01-01,166.0,areco
2018-01-01,64.0,areco
2019-01-01,190.0,areco
2020-01-01,79.0,areco
2021-01-01,107.0,areco
2022-01-01,98.0,areco
1982-02-01,129.0,areco
1983-02-01,80.0,areco
1984-02-01,412.0,areco
1985-02-01,59.0,areco
1986-02-01,30.0,areco
1987-02-01,160.0,areco
1988-02-01,44.0,areco
1989-02-01,144.0,areco
1990-02-01,97.0,areco
1991-02-01,115.0,areco
1992-02-01,45.0,areco
1993-02-01,0.0,areco
1994-02-01,12.0,areco
1995-02-01,67.0,areco
1996-02-01,147.0,areco
1997-02-01,53.0,areco
1998-02-01,100.0,areco
1999-02-01,204.0,areco
2000-02-01,147.0,areco
2001-02-01,108.0,areco
2002-02-01,29.0,areco
2003-02-01,207.0,areco
2004-02-01,80.0,areco
2005-02-01,27.0,areco
2006-02-01,90.0,areco
2007-02-01,197.0,areco
2008-02-01,84.0,areco
2009-02-01,240.0,areco
2010-02-01,290.0,areco
2011-02-01,126.0,areco
2012-02-01,214.0,areco
2013-02-01,52.0,areco
2014-02-01,257.0,areco
2015-02-01,41.0,areco
2016-02-01,174.0,areco
2017-02-01,164.0,areco
2018-02-01,44.0,areco
2019-02-01,150.0,areco
2020-02-01,79.0,areco
2021-02-01,23.0,areco
2022-02-01,123.0,areco
1982-03-01,61.0,areco
1983-03-01,63.0,areco
1984-03-01,57.0,areco
1985-03-01,82.0,areco
1986-03-01,39.0,areco
1987-03-01,199.0,areco
1988-03-01,429.0,areco
1989-03-01,160.0,areco
1990-03-01,110.0,areco
1991-03-01,84.0,areco
1992-03-01,57.0,areco
1993-03-01,190.0,areco
1994-03-01,43.0,areco
1995-03-01,117.0,areco
1996-03-01,26.0,areco
1997-03-01,18.0,areco
1998-03-01,127.0,areco
1999-03-01,204.0,areco
2000-03-01,28.0,areco
2001-03-01,246.0,areco
2002-03-01,186.0,areco
2003-03-01,151.0,areco
2004-03-01,57.0,areco
2005-03-01,119.0,areco
2006-03-01,81.0,areco
2007-03-01,345.0,areco
2008-03-01,127.0,areco
2009-03-01,73.0,areco
2010-03-01,140.0,areco
2011-03-01,70.0,areco
2012-03-01,153.0,areco
2013-03-01,90.0,areco
2014-03-01,140.0,areco
2015-03-01,29.0,areco
2016-03-01,61.0,areco
2017-03-01,81.0,areco
2018-03-01,36.0,areco
2019-03-01,96.0,areco
2020-03-01,117.0,areco
2021-03-01,147.0,areco
2022-03-01,69.0,areco
1982-04-01,88.0,areco
1983-04-01,92.0,areco
1984-04-01,71.0,areco
1985-04-01,148.0,areco
1986-04-01,201.0,areco
1987-04-01,80.0,areco
1988-04-01,23.0,areco
1989-04-01,188.0,areco
1990-04-01,162.0,areco
1991-04-01,133.0,areco
1992-04-01,121.0,areco
1993-04-01,170.0,areco
1994-04-01,141.0,areco
1995-04-01,208.0,areco
1996-04-01,93.0,areco
1997-04-01,77.0,areco
1998-04-01,51.0,areco
1999-04-01,109.0,areco
2000-04-01,239.0,areco
2001-04-01,49.0,areco
2002-04-01,162.0,areco
2003-04-01,97.0,areco
2004-04-01,168.0,areco
2005-04-01,79.0,areco
2006-04-01,87.0,areco
2007-04-01,238.0,areco
2008-04-01,5.0,areco
2009-04-01,47.0,areco
2010-04-01,71.0,areco
2011-04-01,89.0,areco
2012-04-01,31.0,areco
2013-04-01,67.0,areco
2014-04-01,246.0,areco
2015-04-01,139.0,areco
2016-04-01,285.0,areco
2017-04-01,171.0,areco
2018-04-01,270.0,areco
2019-04-01,2.0,areco
2020-04-01,117.0,areco
2021-04-01,57.0,areco
2022-04-01,21.0,areco
1982-05-01,65.0,areco
1983-05-01,66.0,areco
1984-05-01,79.0,areco
1985-05-01,29.0,areco
1986-05-01,54.0,areco
1987-05-01,15.0,areco
1988-05-01,0.0,areco
1989-05-01,20.0,areco
1990-05-01,48.0,areco
1991-05-01,118.0,areco
1992-05-01,21.0,areco
1993-05-01,199.0,areco
1994-05-01,82.0,areco
1995-05-01,14.0,areco
1996-05-01,47.0,areco
1997-05-01,0.0,areco
1998-05-01,46.0,areco
1999-05-01,25.0,areco
2000-05-01,235.0,areco
2001-05-01,91.0,areco
2002-05-01,370.0,areco
2003-05-01,36.0,areco
2004-05-01,59.0,areco
2005-05-01,7.0,areco
2006-05-01,5.0,areco
2007-05-01,56.0,areco
2008-05-01,1.0,areco
2009-05-01,34.0,areco
2010-05-01,124.0,areco
2011-05-01,38.0,areco
2012-05-01,165.0,areco
2013-05-01,117.0,areco
2014-05-01,112.0,areco
2015-05-01,75.0,areco
2016-05-01,7.0,areco
2017-05-01,129.0,areco
2018-05-01,349.0,areco
2019-05-01,56.0,areco
2020-05-01,1.0,areco
2021-05-01,64.0,areco
2022-05-01,7.0,areco
1982-06-01,48.0,areco
1983-06-01,37.0,areco
1984-06-01,42.0,areco
1985-06-01,11.0,areco
1986-06-01,75.0,areco
1987-06-01,0.0,areco
1988-06-01,20.0,areco
1989-06-01,56.0,areco
1990-06-01,0.0,areco
1991-06-01,48.0,areco
1992-06-01,201.0,areco
1993-06-01,136.0,areco
1994-06-01,32.0,areco
1995-06-01,16.0,areco
1996-06-01,16.0,areco
1997-06-01,68.0,areco
1998-06-01,15.0,areco
1999-06-01,20.0,areco
2000-06-01,102.0,areco
2001-06-01,55.0,areco
2002-06-01,5.0,areco
2003-06-01,16.0,areco
2004-06-01,14.0,areco
2005-06-01,54.0,areco
2006-06-01,50.0,areco
2007-06-01,30.0,areco
2008-06-01,23.0,areco
2009-06-01,15.0,areco
2010-06-01,28.0,areco
